Company,Job Title,Required Skills,Experience,Qualification
Emmess technologies private Limited ,Python Developer,"['deep learning', 'python', 'tensorflow', 'data integration', 'Restful Web Api Development', 'PyTorch', 'communication', 'analytical']",1-3 Yrs,[]
Smart Source   ,Sr. Executive/Manager Sales-Top MNC-Bangalore,"['sales', 'B2B sales', 'Business Development', 'Corporate Sales']",4-9 Yrs,"['Any Graduate', 'CA in Any Specialization, ICWA (CMA) in Any Specialization, MBA/PGDM in Any Specialization']"
MAC Consultant ,E3D Modeller / Designer,['E3D'],3-8 Yrs,"['B.Tech/B.E. in Any Specialization, Any Graduate, Diploma in Any Specialization']"
REKRUT INDIA PRIVATE LIMITED   ,Merchant Acquisition Manager - POS / EDC,"['business development', 'Merchant Acquiring']",3-8 Yrs,['Any Graduate']
SKILLVENTORY,Vehicle Testing For a leading Automotive Green Energy Company,"['Emission Testing', 'On road Testing', 'Highway Testing', 'Homologation', 'certification']",5-10 Yrs,['B.Tech/B.E. in Any Specialization']
SKILLVENTORY,Data Privacy Specialist(Senior Manager),"['Senior Management', 'Data Privacy']",10-20 Yrs,"['Any Graduate', 'Any Postgraduate']"
Search Advisers Services ( GUJ ) Pvt. Ltd.  ,General Manager Talent Acquisition,"['Lateral Hiring', 'Leadership Hiring', 'Talent Acquisition', 'it hiring', 'Team Management', 'Executive Hiring', 'volume hiring', 'Engineering Recruitments']",10-16 Yrs,['MBA/PGDM in Any Specialization']
Search Advisers Services ( GUJ ) Pvt. Ltd.  ,General Manager Talent Acquisition,"['Lateral Hiring', 'Leadership Hiring', 'Talent Acquisition', 'it hiring', 'Team Management', 'Executive Hiring', 'volume hiring', 'Engineering Recruitments']",10-16 Yrs,['MBA/PGDM in Any Specialization']
Hiringlink Talent Solutions LLP ,Opening For Java developer - Work from Office,"['Java', 'Spring Boot', 'Tomcat', 'IntelliJ', 'GIT', 'Eclipse', 'Boot', 'Elasticsearch']",6-11 Yrs,['Any Graduate']
Orcapod Consulting Services Private Limited   ,Salesforce Developer,"['Sfdc Development', 'CSS', 'Javascript', 'Salesforce.com', 'Visualforce', 'IT Skills', 'HTML', 'Salesforce']",4-8 Yrs,['B.Tech/B.E. in Computers']
Talent  Corner HR Services Pvt Ltd,Embedded Developer,"['c++', 'Linux', 'Embedded', 'product development cycle', 'python', 'c', 'QT', 'Embedded Software Development']",3-5 Yrs,"['B.Tech/B.E. in Any Specialization, B.Sc in Computers']"
Squareroot Consulting Pvt Ltd.,Java Developer - Senior/Lead/Principal/Architect,"['OOA', 'Java', 'Hibernate', 'Platform', 'Scalable', 'OOPs', 'founder', 'Saas']",5-10 Yrs,"['Any Graduate', 'Any Postgraduate', 'Any Doctorate, Doctorate Not Required']"
